League,Season,Stage,Player,Team,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,ORB,DRB,REB,AST,STL,BLK,PTS,TOV,PF
NBA,2016 - 2017,Playoffs,LeBron James,CLE,18,744.2,217,384,44,107,113,162,19,145,164,141,35,23,591,72,43
NBA,2016 - 2017,Playoffs,Stephen Curry,GSW,17,600.8,151,312,72,172,103,114,23,84,107,114,34,4,477,58,37
NBA,2016 - 2017,Playoffs,Kyrie Irving,CLE,18,653.3,173,370,44,118,76,84,13,38,51,95,23,8,466,48,38
NBA,2016 - 2017,Playoffs,Kevin Durant,GSW,15,533.1,149,268,38,86,92,103,16,103,119,64,12,20,428,38,39
NBA,2016 - 2017,Playoffs,John Wall,WAS,13,506.5,127,281,21,61,78,93,7,41,48,134,21,15,353,55,26
NBA,2016 - 2017,Playoffs,Isaiah Thomas,BOS,15,520.7,111,261,36,108,91,111,5,42,47,100,13,2,349,50,35
NBA,2016 - 2017,Playoffs,Kawhi Leonard,SAS,12,429.1,106,202,25,55,95,102,19,74,93,55,20,6,332,26,21
NBA,2016 - 2017,Playoffs,Bradley Beal,WAS,13,505.4,122,259,29,101,50,61,15,29,44,35,21,8,323,27,38
NBA,2016 - 2017,Playoffs,James Harden,HOU,11,406.7,90,218,32,115,101,115,7,53,60,93,21,5,313,59,43
NBA,2016 - 2017,Playoffs,Kevin Love,CLE,18,577.6,95,218,50,111,63,75,36,155,191,30,21,16,303,31,46
NBA,2016 - 2017,Playoffs,Avery Bradley,BOS,18,644.7,120,272,40,114,21,27,18,53,71,41,23,3,301,31,40
NBA,2016 - 2017,Playoffs,Al Horford,BOS,18,609.9,111,190,27,52,22,29,31,87,118,97,15,14,271,33,33
NBA,2016 - 2017,Playoffs,Gordon Hayward,UTA,11,410.7,83,188,28,68,71,76,7,60,67,37,10,3,265,24,23
NBA,2016 - 2017,Playoffs,LaMarcus Aldridge,SAS,16,537.3,110,240,2,14,42,55,43,76,119,24,10,16,264,28,41
NBA,2016 - 2017,Playoffs,Klay Thompson,GSW,17,595.6,94,237,41,106,26,33,11,55,66,35,14,5,255,25,44
NBA,2016 - 2017,Playoffs,Jae Crowder,BOS,18,596.0,87,200,31,88,40,48,20,95,115,48,19,6,245,12,52
NBA,2016 - 2017,Playoffs,DeMar DeRozan,TOR,10,373.2,76,175,1,15,71,80,4,45,49,34,14,0,224,25,26
NBA,2016 - 2017,Playoffs,Draymond Green,GSW,17,592.5,72,161,32,78,46,67,20,135,155,110,32,28,222,35,60
NBA,2016 - 2017,Playoffs,Russell Westbrook,OKC,5,194.5,59,152,13,49,56,70,9,49,58,54,12,2,187,30,16
NBA,2016 - 2017,Playoffs,Chris Paul,LAC,7,260.2,67,135,14,38,29,33,4,31,35,69,12,1,177,19,24
NBA,2016 - 2017,Playoffs,Kelly Olynyk,BOS,18,346.4,64,125,15,47,22,30,14,43,57,34,13,14,165,22,47
NBA,2016 - 2017,Playoffs,Patty Mills,SAS,16,416.4,57,140,32,89,19,22,5,29,34,43,13,1,165,21,33
NBA,2016 - 2017,Playoffs,Otto Porter,WAS,13,428.1,58,109,11,39,31,35,15,74,89,23,22,7,158,10,26
NBA,2016 - 2017,Playoffs,Jonathon Simmons,SAS,15,305.7,62,136,13,37,21,31,9,19,28,29,9,2,158,11,30
NBA,2016 - 2017,Playoffs,Markieff Morris,WAS,13,373.2,59,145,14,38,25,31,18,65,83,22,12,17,157,21,46
NBA,2016 - 2017,Playoffs,Marcus Smart,BOS,18,537.8,47,134,29,73,32,50,23,62,85,85,27,16,155,38,51
NBA,2016 - 2017,Playoffs,Giannis Antetokounmpo,MIL,6,243.0,60,112,4,10,25,46,10,47,57,24,13,10,149,20,21
NBA,2016 - 2017,Playoffs,Tristan Thompson,CLE,18,561.5,54,92,0,0,40,60,69,81,150,26,9,13,148,21,36
NBA,2016 - 2017,Playoffs,Mike Conley,MEM,6,223.6,50,103,17,38,31,37,1,19,20,42,10,3,148,12,11
NBA,2016 - 2017,Playoffs,Dennis Schroder,ATL,6,211.5,50,110,17,40,31,37,4,10,14,46,6,0,148,10,19
NBA,2016 - 2017,Playoffs,Paul Millsap,ATL,6,219.4,50,99,3,17,43,53,9,47,56,26,10,4,146,23,19
NBA,2016 - 2017,Playoffs,J.R. Smith,CLE,18,486.6,50,99,40,80,5,11,5,37,42,13,13,6,145,12,41
NBA,2016 - 2017,Playoffs,Serge Ibaka,TOR,10,306.5,60,130,12,38,11,13,9,56,65,14,4,17,143,11,37
NBA,2016 - 2017,Playoffs,Eric Gordon,HOU,11,358.2,51,121,27,70,13,18,5,38,43,22,8,6,142,14,20
NBA,2016 - 2017,Playoffs,Joe Johnson,UTA,11,326.4,58,133,15,45,11,15,8,35,43,27,6,1,142,13,21
NBA,2016 - 2017,Playoffs,Lou Williams,HOU,11,271.6,50,118,12,39,26,29,7,23,30,14,7,1,138,14,17
NBA,2016 - 2017,Playoffs,Jimmy Butler,CHI,6,238.7,46,108,6,23,38,47,9,35,44,26,10,5,136,15,10
NBA,2016 - 2017,Playoffs,Tony Parker,SAS,8,211.3,51,97,11,19,14,14,2,18,20,25,4,0,127,12,10
NBA,2016 - 2017,Playoffs,Kyle Lowry,TOR,8,300.4,43,93,13,38,27,33,3,22,25,47,12,4,126,17,26
NBA,2016 - 2017,Playoffs,George Hill,UTA,8,280.9,46,98,12,31,21,29,8,25,33,29,2,1,125,13,25
NBA,2016 - 2017,Playoffs,Danny Green,SAS,16,435.8,45,111,26,76,8,14,13,44,57,23,10,15,124,17,30
NBA,2016 - 2017,Playoffs,Pau Gasol,SAS,16,365.4,50,114,6,18,17,24,39,75,114,31,7,15,123,18,35
NBA,2016 - 2017,Playoffs,Patrick Beverley,HOU,11,324.7,45,109,21,52,11,14,21,40,61,33,16,2,122,18,38
NBA,2016 - 2017,Playoffs,Trevor Ariza,HOU,11,412.9,41,97,23,61,13,14,8,48,56,23,14,2,118,9,25
NBA,2016 - 2017,Playoffs,Clint Capela,HOU,11,286.2,46,82,0,1,24,39,26,70,96,12,8,28,116,8,28
NBA,2016 - 2017,Playoffs,Marc Gasol,MEM,6,239.7,39,83,7,12,31,33,7,32,39,25,2,4,116,15,22
NBA,2016 - 2017,Playoffs,Andre Iguodala,GSW,16,419.4,46,101,8,42,15,26,9,56,65,51,14,7,115,16,29
NBA,2016 - 2017,Playoffs,Bojan Bogdanovic,WAS,13,263.9,36,87,16,45,27,32,10,46,56,9,6,1,115,8,17
NBA,2016 - 2017,Playoffs,Paul George,IND,4,171.6,34,88,18,42,26,30,5,30,35,29,7,2,112,13,13
NBA,2016 - 2017,Playoffs,Jonas Valanciunas,TOR,10,225.9,44,81,0,1,24,33,9,58,67,2,2,6,112,13,22
NBA,2016 - 2017,Playoffs,Damian Lillard,POR,4,150.6,39,90,9,32,24,25,4,13,17,13,5,2,111,13,11
NBA,2016 - 2017,Playoffs,Ian Clark,GSW,16,219.5,40,79,13,36,16,17,4,22,26,11,6,0,109,11,17
NBA,2016 - 2017,Playoffs,DeAndre Jordan,LAC,7,264.3,43,61,0,1,22,56,25,76,101,5,3,6,108,17,29
NBA,2016 - 2017,Playoffs,Manu Ginobili,SAS,16,284.2,40,97,9,40,17,23,10,29,39,39,16,2,106,12,28
NBA,2016 - 2017,Playoffs,Marcin Gortat,WAS,13,408.6,47,93,0,0,11,18,52,91,143,24,5,20,105,17,40
NBA,2016 - 2017,Playoffs,Kyle Korver,CLE,18,326.2,34,80,27,69,10,10,2,28,30,13,7,5,105,7,22
NBA,2016 - 2017,Playoffs,Norman Powell,TOR,9,227.2,35,82,15,34,20,24,5,23,28,14,10,3,105,15,25
NBA,2016 - 2017,Playoffs,Rudy Gobert,UTA,9,246.1,40,63,0,0,24,50,22,67,89,11,9,12,104,9,30
NBA,2016 - 2017,Playoffs,Ryan Anderson,HOU,11,335.7,36,92,17,60,14,16,15,42,57,7,4,2,103,9,24
NBA,2016 - 2017,Playoffs,Rodney Hood,UTA,11,277.0,37,105,13,50,11,18,1,29,30,12,5,0,98,10,30
NBA,2016 - 2017,Playoffs,Gerald Green,BOS,13,192.4,34,72,21,45,8,9,2,18,20,9,3,1,97,7,21
NBA,2016 - 2017,Playoffs,Terry Rozier,BOS,17,277.2,33,82,14,38,16,20,12,32,44,32,11,4,96,10,20
NBA,2016 - 2017,Playoffs,JaVale McGee,GSW,16,148.5,41,56,0,0,13,18,22,26,48,4,2,15,95,8,31
NBA,2016 - 2017,Playoffs,Maybyner Nene,HOU,9,161.2,36,51,0,1,18,31,11,31,42,5,6,4,90,9,24
NBA,2016 - 2017,Playoffs,Dwyane Wade,CHI,6,190.1,32,86,6,17,20,21,6,24,30,24,5,8,90,10,8
NBA,2016 - 2017,Playoffs,C.J. McCollum,POR,4,140.3,32,80,11,22,15,16,8,16,24,4,4,2,90,15,10
NBA,2016 - 2017,Playoffs,Channing Frye,CLE,12,154.1,31,60,20,39,6,7,0,22,22,13,3,4,88,2,11
NBA,2016 - 2017,Playoffs,Jamal Crawford,LAC,7,195.6,35,83,6,25,12,12,2,7,9,13,4,1,88,9,12
NBA,2016 - 2017,Playoffs,Khris Middleton,MIL,6,231.2,31,78,7,19,18,22,0,28,28,32,12,0,87,11,17
NBA,2016 - 2017,Playoffs,Jaylen Brown,BOS,17,214.8,34,71,5,23,12,18,12,24,36,13,6,2,85,13,26
NBA,2016 - 2017,Playoffs,Kyle Anderson,SAS,15,194.7,36,64,3,10,8,11,12,34,46,25,10,2,83,7,8
NBA,2016 - 2017,Playoffs,Derrick Favors,UTA,11,224.8,36,62,0,0,11,23,15,45,60,10,8,6,83,4,25
NBA,2016 - 2017,Playoffs,Greg Monroe,MIL,6,141.1,27,51,0,0,25,30,17,27,44,10,8,3,79,11,16
NBA,2016 - 2017,Playoffs,Cory Joseph,TOR,10,211.9,31,71,9,22,8,8,4,17,21,31,4,2,79,14,17
NBA,2016 - 2017,Playoffs,Zach Randolph,MEM,6,191.4,35,83,1,7,8,11,9,40,49,4,5,2,79,7,14
NBA,2016 - 2017,Playoffs,Deron Williams,CLE,18,262.3,28,64,12,31,10,11,3,20,23,38,10,1,78,17,29
NBA,2016 - 2017,Playoffs,Zaza Pachulia,GSW,15,211.6,32,60,0,1,13,17,17,39,56,12,7,4,77,14,32
NBA,2016 - 2017,Playoffs,Tim Hardaway Jr.,ATL,6,200.4,27,82,11,42,12,19,3,13,16,7,3,0,77,10,13
NBA,2016 - 2017,Playoffs,David West,GSW,17,221.2,34,59,1,2,7,9,7,39,46,36,7,13,76,10,26
NBA,2016 - 2017,Playoffs,Robin Lopez,CHI,6,162.1,34,52,0,0,8,8,28,15,43,5,3,6,76,8,13
NBA,2016 - 2017,Playoffs,Iman Shumpert,CLE,17,274.9,25,60,10,26,14,17,6,41,47,16,10,3,74,6,32
NBA,2016 - 2017,Playoffs,Shaun Livingston,GSW,14,219.9,34,59,0,0,5,7,10,19,29,20,5,2,73,10,24
NBA,2016 - 2017,Playoffs,Joe Ingles,UTA,11,333.4,25,62,15,41,6,9,2,39,41,36,22,5,71,16,28
NBA,2016 - 2017,Playoffs,"Kelly Oubre, Jr.",WAS,12,184.2,26,61,11,30,7,10,9,19,28,4,10,5,70,7,38
NBA,2016 - 2017,Playoffs,Jeff Teague,IND,4,142.4,22,45,9,17,15,18,0,13,13,25,4,3,68,8,12
NBA,2016 - 2017,Playoffs,Taurean Prince,ATL,6,187.1,29,52,4,14,5,5,7,25,32,8,2,1,67,7,9
NBA,2016 - 2017,Playoffs,Lance Stephenson,IND,4,107.2,27,53,7,18,3,4,1,20,21,11,2,0,64,4,11
NBA,2016 - 2017,Playoffs,J.J. Redick,LAC,7,205.7,19,50,9,26,17,20,0,12,12,6,2,0,64,13,17
NBA,2016 - 2017,Playoffs,Boris Diaw,UTA,11,202.8,24,48,6,14,9,10,3,18,21,22,7,4,63,14,12
NBA,2016 - 2017,Playoffs,Dejounte Murray,SAS,11,168.2,23,61,0,3,17,25,4,23,27,27,16,1,63,16,14
NBA,2016 - 2017,Playoffs,David Lee,SAS,15,245.2,25,48,0,1,11,17,20,37,57,11,4,5,61,6,20
NBA,2016 - 2017,Playoffs,Patrick McCaw,GSW,15,180.8,21,48,8,23,11,13,10,23,33,16,9,3,61,3,14
NBA,2016 - 2017,Playoffs,Blake Griffin,LAC,3,99.4,25,51,4,6,7,7,3,15,18,7,2,1,61,6,2
NBA,2016 - 2017,Playoffs,Tony Snell,MIL,6,184.6,22,44,16,31,0,0,2,12,14,9,1,1,60,2,17
NBA,2016 - 2017,Playoffs,Kent Bazemore,ATL,6,150.4,21,53,7,24,10,14,4,19,23,20,4,5,59,16,15
NBA,2016 - 2017,Playoffs,Andre Roberson,OKC,5,185.4,24,46,7,17,3,21,18,13,31,9,12,17,58,7,15
NBA,2016 - 2017,Playoffs,Vince Carter,MEM,6,194.7,20,42,8,20,7,7,4,16,20,9,2,0,55,10,15
NBA,2016 - 2017,Playoffs,Richard Jefferson,CLE,14,178.5,16,38,5,19,18,28,10,15,25,7,2,3,55,8,30
NBA,2016 - 2017,Playoffs,Malcolm Brogdon,MIL,6,183.2,22,55,10,21,0,0,3,23,26,21,3,2,54,12,12
NBA,2016 - 2017,Playoffs,Shelvin Mack,UTA,9,154.5,17,49,7,15,13,15,3,22,25,18,4,0,54,9,14
NBA,2016 - 2017,Playoffs,Victor Oladipo,OKC,5,180.8,21,61,6,25,6,6,2,26,28,10,7,3,54,6,17
NBA,2016 - 2017,Playoffs,Luc Mbah a Moute,LAC,7,223.8,17,43,5,16,14,20,10,24,34,7,8,4,53,3,16
NBA,2016 - 2017,Playoffs,Nikola Mirotic,CHI,6,161.9,17,50,10,35,8,10,4,26,30,9,4,3,52,4,16
NBA,2016 - 2017,Playoffs,Jason Smith,WAS,13,156.9,19,39,3,10,10,14,10,20,30,4,2,8,51,10,30
NBA,2016 - 2017,Playoffs,P.J. Tucker,TOR,10,251.2,18,49,9,28,5,8,15,42,57,11,6,3,50,8,27
NBA,2016 - 2017,Playoffs,James Ennis,MEM,6,158.7,16,38,6,19,12,14,8,17,25,7,5,2,50,7,20
NBA,2016 - 2017,Playoffs,Taj Gibson,OKC,5,118.3,21,35,0,0,7,8,3,15,18,3,1,0,49,8,13
NBA,2016 - 2017,Playoffs,Dwight Howard,ATL,6,156.6,18,36,0,0,12,19,18,46,64,8,6,5,48,11,21
NBA,2016 - 2017,Playoffs,Thaddeus Young,IND,4,140.0,21,39,1,4,5,10,22,14,36,10,8,1,48,6,11
NBA,2016 - 2017,Playoffs,Al-Farouq Aminu,POR,4,112.8,17,37,7,17,7,11,5,21,26,4,3,4,48,9,9
NBA,2016 - 2017,Playoffs,Jerami Grant,OKC,5,110.5,19,31,2,6,6,7,7,12,19,4,1,2,46,3,7
NBA,2016 - 2017,Playoffs,Marreese Speights,LAC,7,97.9,16,37,7,20,7,10,4,16,20,3,2,3,46,3,13
NBA,2016 - 2017,Playoffs,Matt Dellavedova,MIL,6,158.6,16,41,6,16,8,10,1,11,12,12,1,0,46,7,5
NBA,2016 - 2017,Playoffs,Dewayne Dedmon,SAS,12,96.6,14,23,0,0,17,32,21,26,47,3,2,3,45,8,16
NBA,2016 - 2017,Playoffs,Paul Zipser,CHI,6,136.0,15,33,6,16,8,8,3,18,21,3,1,1,44,7,12
NBA,2016 - 2017,Playoffs,JaMychal Green,MEM,6,117.8,17,36,7,16,3,3,3,17,20,2,0,0,44,4,21
NBA,2016 - 2017,Playoffs,Jonas Jerebko,BOS,12,128.0,15,31,5,15,8,8,7,22,29,12,5,3,43,6,13
NBA,2016 - 2017,Playoffs,Myles Turner,IND,4,133.1,19,44,0,6,5,8,6,21,27,3,7,5,43,6,15
NBA,2016 - 2017,Playoffs,DeMarre Carroll,TOR,10,154.6,15,37,7,22,5,9,4,23,27,5,8,5,42,5,13
NBA,2016 - 2017,Playoffs,Evan Turner,POR,4,124.1,12,33,5,15,12,16,3,20,23,15,7,2,41,7,7
NBA,2016 - 2017,Playoffs,Steven Adams,OKC,5,157.0,18,28,0,0,4,11,17,17,34,7,6,9,40,4,14
NBA,2016 - 2017,Playoffs,Bobby Portis,CHI,6,120.8,17,33,6,13,0,0,5,31,36,7,3,3,40,6,10
NBA,2016 - 2017,Playoffs,Andrew Harrison,MEM,6,118.8,13,29,5,13,8,9,4,7,11,13,3,1,39,3,14
NBA,2016 - 2017,Playoffs,Raymond Felton,LAC,7,126.9,15,32,4,9,5,5,2,8,10,10,6,0,39,3,10
NBA,2016 - 2017,Playoffs,Brandon Jennings,WAS,13,178.2,14,36,2,13,7,8,5,14,19,24,2,0,37,8,13
NBA,2016 - 2017,Playoffs,Amir Johnson,BOS,14,142.4,15,30,1,3,5,8,17,13,30,3,4,6,36,6,24
NBA,2016 - 2017,Playoffs,Davis Bertans,SAS,13,112.1,12,27,8,20,4,6,5,15,20,3,3,4,36,6,7
NBA,2016 - 2017,Playoffs,Thon Maker,MIL,6,116.4,12,31,2,10,9,11,8,11,19,12,5,11,35,8,18
NBA,2016 - 2017,Playoffs,Isaiah Canaan,CHI,3,95.3,13,26,5,14,4,6,0,4,4,4,3,0,35,5,6
NBA,2016 - 2017,Playoffs,Patrick Patterson,TOR,10,184.8,10,36,8,26,6,6,1,19,20,20,7,2,34,6,4
NBA,2016 - 2017,Playoffs,Tyler Zeller,BOS,11,78.2,13,25,0,0,6,8,8,11,19,8,0,2,32,4,7
NBA,2016 - 2017,Playoffs,Dante Exum,UTA,7,83.7,11,27,4,12,6,6,2,4,6,9,5,0,32,3,10
NBA,2016 - 2017,Playoffs,Maurice Harkless,POR,4,99.1,10,34,2,12,7,8,7,6,13,3,4,4,29,1,14
NBA,2016 - 2017,Playoffs,C.J. Miles,IND,4,82.0,11,24,5,16,2,2,4,4,8,1,2,1,29,2,12
NBA,2016 - 2017,Playoffs,Jose Calderon,ATL,6,75.2,11,23,4,12,0,0,2,6,8,13,2,1,26,4,9
NBA,2016 - 2017,Playoffs,Delon Wright,TOR,9,91.7,9,17,2,6,5,7,4,9,13,13,4,1,25,5,4
NBA,2016 - 2017,Playoffs,Doug McDermott,OKC,5,66.3,9,18,7,13,0,0,0,5,5,1,1,1,25,1,2
NBA,2016 - 2017,Playoffs,Ersan Ilyasova,ATL,6,90.4,8,23,1,5,7,9,14,17,31,2,1,0,24,5,7
NBA,2016 - 2017,Playoffs,Alex Abrines,OKC,5,80.1,8,23,5,17,3,4,2,7,9,4,0,0,24,0,8
NBA,2016 - 2017,Playoffs,Austin Rivers,LAC,3,90.2,9,26,4,13,2,2,1,7,8,2,1,1,24,5,6
NBA,2016 - 2017,Playoffs,Raulzinho Neto,UTA,9,60.4,8,13,3,6,4,4,0,7,7,4,1,1,23,3,8
NBA,2016 - 2017,Playoffs,Wayne Selden,MEM,6,106.1,9,26,2,11,3,4,3,6,9,7,1,1,23,2,8
NBA,2016 - 2017,Playoffs,Monta Ellis,IND,4,75.5,8,20,2,8,4,5,1,7,8,5,2,1,22,4,5
NBA,2016 - 2017,Playoffs,Allen Crabbe,POR,4,92.0,9,24,3,13,1,3,0,13,13,2,1,0,22,1,9
NBA,2016 - 2017,Playoffs,Paul Pierce,LAC,7,101.5,8,18,4,10,1,1,2,12,14,7,2,0,21,4,11
NBA,2016 - 2017,Playoffs,Bryn Forbes,SAS,6,72.8,6,21,2,9,6,6,0,6,6,3,0,1,20,2,5
NBA,2016 - 2017,Playoffs,Cristiano Felicio,CHI,6,82.1,9,15,0,0,1,2,7,19,26,2,3,2,19,7,16
NBA,2016 - 2017,Playoffs,Noah Vonleh,POR,4,100.2,8,18,0,0,2,5,9,20,29,8,1,4,18,6,11
NBA,2016 - 2017,Playoffs,Mike Muscala,ATL,6,80.8,5,18,0,4,7,8,6,10,16,2,1,3,17,1,12
NBA,2016 - 2017,Playoffs,Jason Terry,MIL,6,67.9,6,18,2,10,1,1,2,6,8,5,3,1,15,2,7
NBA,2016 - 2017,Playoffs,Ian Mahinmi,WAS,5,62.6,5,9,0,0,4,11,3,8,11,6,1,6,14,3,17
NBA,2016 - 2017,Playoffs,Troy Daniels,MEM,6,68.3,3,9,3,9,0,0,1,4,5,2,2,0,9,2,1
NBA,2016 - 2017,Playoffs,Matt Barnes,GSW,12,60.9,4,15,1,8,0,0,0,9,9,7,2,0,9,3,9
